ダウンロードした時刻：2017/11/01 17:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計開始,集計終了,札幌,札幌,札幌,札幌,札幌,仙台,仙台,仙台,仙台,仙台,東京,東京,東京,東京,東京,名古屋,名古屋,名古屋,名古屋,名古屋,京都,京都,京都,京都,京都,福岡,福岡,福岡,福岡,福岡
年月日,年月日,平均気温(℃),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm),平均気温(℃),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm),平均気温(℃),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm),平均気温(℃),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm),平均気温(℃),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm),平均気温(℃),日照時間(時間),日照時間(時間),降水量の合計(mm),降水量の合計(mm)
,,,,現象なし情報,,現象なし情報,,,現象なし情報,,現象なし情報,,,現象なし情報,,現象なし情報,,,現象なし情報,,現象なし情報,,,現象なし情報,,現象なし情報,,,現象なし情報,,現象なし情報
2015/11/1,2016/1/31,0.9,288,0,335,0,6.3,410.4,0,257,0,9.8,483.6,0,307,0,9.8,494.1,0,275,0,9.7,402.1,0,355,0,11.1,252.1,0,342,0
2015/12/1,2016/2/29,-1.7,279.1,0,307.5,0,3.9,438.1,0,130,0,7.5,523.6,0,224.5,0,7.2,541.9,0,202.5,0,7,437.5,0,277,0,8.4,256.9,0,300,0
2016/1/1,2016/3/31,-1.2,351.6,0,244,0,4.3,477.3,0,93.5,0,7.8,523.5,0,245,0,7.6,603,0,230.5,0,7.3,478.4,0,245,0,8.8,326.3,0,268,0
2016/2/1,2016/4/30,2.5,438.3,0,228.5,0,7.5,543,0,206,0,10.9,471.2,0,280,0,11,592.4,0,375.5,0,10.8,487,0,348.5,0,12.1,427.2,0,372,0
2016/3/1,2016/5/31,8.3,568.5,0,159.5,0,12,593.4,0,276,0,15.2,516,0,360.5,0,15.7,621.9,0,456,0,15.7,548.4,0,397,0,16.4,545.5,0,465,0
2016/4/1,2016/6/30,13,562.1,0,211.5,0,16.2,552.3,0,425,0,19.3,493.2,0,432,0,19.8,543.5,0,563.5,0,20.1,489.5,0,612,0,20.4,522.8,0,782,0
2016/5/1,2016/7/31,17.3,598.3,0,271.5,0,19.9,490.5,0,301,0,22.7,487.7,0,393.5,0,23.5,551,0,533.5,0,24,487.1,0,534,0,24.2,592.6,0,765.5,0
2016/6/1,2016/8/31,20.3,594.1,0,510,0,22.8,462.7,0,440,0,25,439.3,0,670,0,26.2,573,0,508.5,0,26.7,500.4,0,535,0,27.1,652.7,0,702,0
2016/7/1,2016/9/30,21.3,591.4,0,504.5,0,23.6,403,0,596.5,0,25.6,379.6,0,782.5,0,26.9,520.2,0,588.5,0,27.4,476.6,0,709.5,0,27.6,617.8,0,916,0
2016/8/1,2016/10/31,18,525.3,0,464,0,21.2,450.8,0,567,0,23.4,355.5,0,797.5,0,24.5,480.7,0,551,0,24.7,445.6,0,706.5,0,25.2,500.8,0,917.5,0
2016/9/1,2016/11/30,10.7,389.6,0,300.5,0,15.5,412.1,0,376.5,0,18.2,331.1,0,522.5,0,19.2,413,0,509,0,19.2,350.1,0,640,0,20.3,342.3,0,922,0
2016/10/1,2016/12/31,3.9,313.4,0,400,0,10,463.1,0,94,0,13,445.4,0,319.5,0,13.5,501.5,0,303.5,0,13.5,402.3,0,273.5,0,15.4,364.6,0,454.5,0
